playtime,votes_up
199,1.838517509893196
198,1.7523263385636567
197,1.9841574251646794
196,1.893741716368456
195,1.7885428367201062
194,2.098210832705734
193,1.7280238603845068
192,1.7210522052569763
191,1.7725246033340027
190,1.8454242297170471
189,2.1457356983251272
188,1.7241100323624596
187,1.6771733604473817
186,1.8681214052541582
185,1.580985504993588
184,1.773928844682479
183,1.8986489043636225
182,1.9108386481929478
181,1.9371310307389564
180,1.9126081645994255
179,3.096061980651118
178,2.8478119671998052
177,3.468435461792415
176,2.9797189981673795
175,2.906338886631451
174,3.047103498424497
173,3.037577865868457
172,3.5019458375125376
171,3.165849380058207
170,2.9835415427325005
169,3.2482775005939653
168,3.011295601500758
167,2.992026708562451
166,2.9624514458351316
165,3.184884763873182
164,2.9667198009408655
163,3.051536716978181
162,2.9990757499903724
161,3.4972004479283316
160,3.1033788149443198
159,2.750363066574945
158,2.844645033516149
157,3.046779661016949
156,2.8934237755805934
155,2.9449367567976976
154,3.309740114677191
153,3.0476441366852325
152,3.2281219272369714
151,3.244244244244244
150,3.178240499739719
149,2.963537053439622
148,3.5187028768025765
147,3.3143958868894603
146,3.271228936986099
145,3.4244312418490073
144,3.127320091175513
143,2.943426724137931
142,3.0287009602684467
141,3.1511619566776647
140,3.68988898257448
139,3.3511288555983465
138,2.980445448448696
137,3.4293236271114567
136,2.965503930376193
135,3.363031269500104
134,3.230289809909629
133,3.2906576774903686
132,2.857538177718561
131,3.1208521934451894
130,3.14471468032069
129,3.5267769545654453
128,3.5190178302612654
127,3.2511780104712042
126,3.049829306722689
125,3.411015722967107
124,3.1223253292515705
123,3.263556035852775
122,3.397577919639504
121,3.5301198444403292
120,3.450682893847194
119,3.435420336269015
118,3.1688545110248096
117,3.4829987969353513
116,3.660731199090737
115,3.4730812570426943
114,3.2125070036730374
113,3.833577552611068
112,3.3526931067630006
111,3.5899984707141765
110,3.0974432599199684
109,3.8041772230118025
108,3.277379796017484
107,3.246317684115794
106,3.7855058512078457
105,3.133530805687204
104,3.411975766131404
103,3.18911403638515
102,3.432809875961227
101,3.617756848331706
100,3.6047917920499812
99,3.2975206611570247
98,3.208011104501289
97,3.582723238262148
96,3.4922103620300438
95,3.409946497380312
94,3.0350564141982597
93,3.69842355903443
92,3.5741384420553444
91,3.3510850496263007
90,3.7112005573186777
89,3.49513425105629
88,3.487322433663897
87,3.5342604974592136
86,3.909628918746001
85,3.3701957460334278
84,3.370161820813051
83,3.219298932477227
82,3.470145002589332
81,3.487699433865157
80,3.4109168421853986
79,3.352222306736645
78,3.67905824039653
77,3.6637950186369133
76,3.22610630407911
75,3.405064833772058
74,3.8803404419012812
73,3.3170872803528817
72,3.7642957763292983
71,3.2907166702180555
70,3.662157749895051
69,3.457495679068498
68,3.5918838972083567
67,4.167850697855038
66,3.8958136181334777
65,3.6733582775076736
64,3.2889327449719494
63,3.7733403629014544
62,3.677403390997504
61,3.605484476108172
60,4.245899190701211
59,3.8035403239853682
58,3.268382194205777
57,3.5619727033896496
56,3.2477343948505126
55,3.631466925168061
54,3.348094898771849
53,3.5384663083918975
52,3.589319393193932
51,3.4737276036115747
50,3.8267230955259977
49,3.782706422930798
48,3.494037411546725
47,3.5074914009211215
46,3.483810769733931
45,4.0987167942368306
44,3.6381293889137907
43,3.665129458828759
42,3.8770257734771456
41,3.249155708845297
40,3.691213197790988
39,3.7119440825381176
38,3.8102250916070495
37,4.063852242744064
36,3.5969601501491435
35,3.7402243800026245
34,3.548883867762768
33,3.8754428227292053
32,4.06003573188763
31,3.8884513261135476
30,5.282174613904633
29,3.499263871422875
28,4.2646460660514816
27,4.775270064634716
26,3.7908684452077104
25,3.7816457079575097
24,3.7995879674984154
23,3.800583561139361
22,4.203387023311664
21,3.958101388963952
20,4.248502120890774
19,4.159796256811182
18,4.195957706596005
17,4.178188751191611
16,4.40110878403351
15,4.265792112299465
14,4.100389909892775
13,4.259061055704208
12,4.791821770375285
11,4.725497797736353
10,4.616860171630489
9,5.446344869393897
8,5.052116926076091
7,5.027389435365192
6,5.664117557511664
5,6.891316790369632
4,2.915912408759124
3,2.52371072910492
2,2.959579628132579
1,3.3357117374241883
